Country,Project title,Location,Launch date,Closing date,Project Status,"Summary (recipient, regions/counties, why, other info)",Total Envelope (USD)
Bangladesh,Anticipatory Action RCT,"Kurigram, Gaibandha, Jamalpur and Sirajganj Districts",March 2024,December 2025,Live,"Generate evidence on the comparative impact of providing cash vs. early warnings, and on providing anticipatory vs. post-disaster assistance, on household resilience. ","$4,000,000"
DRC,Cash transfers to reduce malnutrition, Sud Kivu,May 2022,Apr 2026,Live,2 year payments to HHs on the health zone of Minova with a focus on women and mothers,"$12,500,000"
DRC,Mobile Aid to IDPs, North Kivu,Dec 2023,May 2025,Paused,MobileAid to target IDPs and pay emergency cash transfers fast,"$1,779,619"
India,India Large Transfer,"Kalaburgi district, India",June 2025,TBD,Contracted - to be launched,"Lumpsum payment to ~1200 poor and ultra poor recipients in Northern Karnataka, India","$1,200,000"
Kenya,Kenya Large Transfer (LCT), Rural Kenya,Sep 2018,Rolling,Paused,KES.110K per HH.,
Kenya,Kenya Basic Income Study,Bomet / Siaya,Nov 2017,November 2029,Live,"3 treat arm RCT 1) $500 pp lump sum 2) 2 year UBI payments of $0.75 per day 3) 12 years UBI payments of $0.75 per day. RCT run by IPA. The lump sum and 2 year arms are complete, the 12 year arm has about 9.5 years to run. Waiting for the results of the 2 year arm vs the lump sum.","$30,000,000"
Kenya,Kenya Basic Income, Kilifi,Sept 2021,Sept 2026,Live,Follows the UBI study design. Enrolling villages for 5 years of UBI flow payments per person in Kilifi district. The project is funded by a live carousel where recipients are pre enrolled and funders can actually see the people they will fund prior to committing to the funds. ,"$6,500,000"
Kenya,"Supporting Sustainable Livelihoods for Long-Term Refugees in Kenya
and Uganda","Nairobi, Kenya",Jun 2023,May 2026,Live,~4200 recipients (70% Refugees & 30% Host Community Members) living in the Nairobi Metropolitan; Objective Economic Empowerment and Livelihoods Resilience building among refugees and host community members.,"$4,900,000"
Liberia,"Food Security, Nutrition, and Resilience Activity","Bong, Nimba, Margibi",Dec 2023,Dec 2027,Live,increase agriculture-led economic growth through improved productivity to enhance food security and nutrition.,"$1,250,000"
Liberia,Liberia Universal Basic Income Project,Maryland County,June 2022,March 2025,Live,Full saturation of Maryland county in Liberia,"$78,000,000"
Liberia,Recovery of Economic Activities for Liberia Information sector Employment (REALISE),"Grand Bassa, River Gee, and Rivercess counties.",April 2024,January 2026,Live,"Deliver unconditional cash transfers to extremely poor and food-insecure households in Grand Bassa, River Gee, and Rivercess counties and expand income and livelihood support to poor and food insecure households.","$7,721,294.00"
Liberia,Cash Plus Therapy for At-Risk Urban Youth,Montserrado County,Aug 2023,December 2025,Live,"Deliver UCTs to high-risk young men in urban areas,  undergoing cognitive behavioral therapy (CBT) ","$415,865.00"
Liberia,Liberia Urban Slum Flex ,Montserrado County,Nov 2024,December 2025,Live,Deliver unconditional cash transfers to extremely poor and food-insecure Urban Slum households ,"$2,000,000"
Liberia,Liberia Sinoe County,Sinoe County,Feb 2025,November 2025,Live,Deliver unconditional cash transfers in addition to pro climate activities to forest communities,"$1,174,360"
Malawi,Integrated Mother and Child Grants , Balaka District (Southern Region) & Ntcheu District (Central Region),Nov 2021,Nov 2026,Live,3 arm RCT 1) nutrition programming only (Save) 2) nutrition programming + $17 pm for 30 months  3) nutrition programming + $43 pm for 30 months,"$6,300,000"
Malawi,Cash Transfers to Cervical Cancer Recipients in Malawi , Blantyre District (Southern Region),December 2024,Jan 2027,Live,Targeting MSF patients with cervical cancers,"$445,484"
Malawi,Scaling Transfers for Extreme Poverty (STEP) Malawi," TA Khongoni, Lilongwe Rural (Central Region)",May 2023,June 2025,Closing,Scaled up cash transfers aimed towards wealth promotion as a means to reduce poverty,"$57,001,876"
Malawi,Cash Transfers for Climate Resilience in Malawi," TA Ngabu, Chikwawa District (Southern Region)",Nov 2024,December 2026,Live,"Delivering large unconditional cash transfers to vulnerable farming households affected by El Niño in Chikwawa district, to  enable them to meet their immediate needs and build their adaptive, absorptive and anticipatory capacities.","$5,781,838"
Malawi,Cash Transfers for Climate Resilience in Malawi," TA Ngabu, Chikwawa District (Southern Region)",Oct 2024,March 2025,Live,"Delivering large unconditional cash transfers to vulnerable farming households affected by El Niño in Chikwawa district, to  enable them to meet their immediate needs and build their adaptive, absorptive and anticipatory capacities.","$3,632,542"
Malawi,Malawi Urban Social Protection, Mzuzu City,Nov 2024,March 2025,Live,"Testing mobile phone targeting for Urban Cash Transfers
","$3,500,000"
